anio,sector_economico_1,sexo,ta,ta_sal,masa_sal_ta,permanentes,no_trabajadores,sector
2024,8,2,2186955,2183779,1200214725.060032,1996200,0,"Servicios para Empresas, Personas y el Hogar"
2024,9,2,1390471,1390076,893373080.4500085,1270801,0,Servicios Sociales y Comunales
2024,1,2,18285,18284,16049192.119999995,16151,0,Industrias Extractivas
2024,3,1,3670414,3670249,2541882625.91986,3207440,0,Industrias de la Transformación
2024,5,2,36292,36291,40040791.420000024,25819,0,Ind Eléctrica y Captación y Suministro de Agua Potable
2024,7,2,382671,382666,226675794.97999883,329212,0,Transportes y Comunicaciones
2024,,1,0,0,0.0,0,3970454,
2024,,2,0,0,0.0,0,4120046,
2024,4,2,333086,333077,144016518.98999888,237655,0,Industria de la Construcción
2024,7,1,1180362,1180312,725961320.2000073,1054001,0,Transportes y Comunicaciones
2024,8,1,2637317,2626739,1660724514.000025,2387025,0,"Servicios para Empresas, Personas y el Hogar"
2024,5,1,119973,119970,143369200.25999957,87565,0,Ind Eléctrica y Captación y Suministro de Agua Potable
2024,3,2,2402832,2402793,1282360367.3600094,2114725,0,Industrias de la Transformación
2026,5,2,38528,38528,46694856.86999996,27216,0,Ind Eléctrica y Captación y Suministro de Agua Potable
2026,0,1,457288,421042,206389957.96000153,337150,0,"Agricultura, Ganadería, Silvicultura, Pesca y Caza"
2026,4,2,327189,327185,166040423.95000154,239062,0,Industria de la Construcción
2026,5,1,122880,122880,163894577.98000026,88625,0,Ind Eléctrica y Captación y Suministro de Agua Potable
2026,7,1,1392807,1392796,938898701.9299846,1080873,0,Transportes y Comunicaciones
2026,7,2,419718,419717,279080348.6200015,351370,0,Transportes y Comunicaciones
2026,3,3,7,7,4119.93,6,0,Industrias de la Transformación
2026,3,1,3593961,3593931,2854764811.5197134,3181488,0,Industrias de la Transformación
2026,3,2,2366631,2366628,1483452106.559885,2110459,0,Industrias de la Transformación
