anio,cve_entidad,sexo,ta,ta_sal,masa_sal_ta,permanentes,no_trabajadores,entidad
2020,3,1,107856,107585,41172754.02999911,73797,27203,Baja California Sur
2020,11,2,368275,367931,113303927.3699938,320109,117118,Guanajuato
2020,12,1,89447,87925,30569335.69999933,70889,80323,Guerrero
2020,15,2,590253,589784,203670906.77999106,502442,399960,Estado México
2020,15,1,996391,995664,401967203.26001203,832276,406139,Estado México
2020,19,1,1040859,1039924,478139667.9500117,931930,150817,Nuevo León
2020,19,2,549118,548897,220530208.04999524,498385,125650,Nuevo León
2020,5,1,486503,485701,213501795.19000158,427760,64192,Coahuila de Zaragoza
2020,21,1,369260,366339,142186094.37000507,312777,213946,Puebla
2020,23,2,127786,127185,39647046.20999944,102922,40837,Quintana Roo
2020,11,1,605463,604720,224638255.21999472,522374,126395,Guanajuato
2020,14,2,689971,684868,250223419.68999168,603162,231003,Jalisco
2020,9,2,1349072,1347112,643451796.9500011,1189972,885703,Ciudad de México
2020,13,2,80197,80068,24162582.899998017,69078,87142,Hidalgo
2020,25,1,324487,320568,102058911.49999447,267665,141864,Sinaloa
2020,25,2,205205,204118,58041083.22999686,182000,149685,Sinaloa
2020,4,2,38651,38565,14467204.009999553,34070,27534,Campeche
2020,17,2,82356,80784,28449072.12999908,73144,49522,Morelos
2020,20,1,127417,124516,41594542.90999688,109708,79801,Oaxaca
2020,20,2,79565,78546,23765676.719998095,72913,84074,Oaxaca
2020,1,1,204040,203304,87851484.79000007,185574,49015,Aguascalientes
2020,28,1,409455,407443,170270093.7500147,361614,85374,Tamaulipas
2020,23,1,228524,227626,71819534.18999885,161679,41255,Quintana Roo
2020,29,1,61085,60987,21547856.669999022,47414,40097,Tlaxcala
2020,30,2,270930,260610,104036882.18999644,248209,223363,Veracruz de Ignacio de la Llave
2020,32,2,68314,68208,22121642.519999344,60374,45692,Zacatecas
2020,7,2,80625,79023,26574814.539998252,74270,90837,Chiapas
2020,8,1,528380,523336,224606402.21999776,474847,101444,Chihuahua
2020,2,2,378070,377250,142546315.9500027,352291,79639,Baja California
2020,31,2,129971,129907,43775970.96999627,121391,53702,Yucatán
2020,9,1,1902545,1900491,992534313.0500118,1624661,822278,Ciudad de México
2020,24,2,167857,165856,64278075.25999667,138483,72634,San Luis Potosí
2020,18,1,88159,84315,27864436.99999817,64952,36676,Nayarit
2020,22,2,228957,228502,90522914.14999762,194077,62300,Querétaro
2020,16,2,172243,169933,51756848.26999584,146927,115435,Michoacán de Ocampo
2020,14,1,1068525,1057334,441225841.8699982,909464,221013,Jalisco
2020,10,1,152374,151742,51716582.93999794,135820,43566,Durango
2020,4,1,85227,84988,41229370.299999274,68052,28741,Campeche
2020,27,1,118561,116162,42657565.83999796,94051,76167,Tabasco
2020,6,2,51054,50559,15823256.91999918,44536,24823,Colima
2020,26,1,365728,364133,141546906.29000303,306207,102696,Sonora
2020,26,2,235512,234851,74825319.07999961,212727,104255,Sonora
2020,13,1,138788,138517,50301429.79999626,110674,85492,Hidalgo
2020,21,2,217471,216176,69457967.4099954,188703,221861,Puebla
2020,24,1,268527,263975,117962694.57000206,215857,70731,San Luis Potosí
2020,27,2,52738,51729,17195686.209999125,46754,70148,Tabasco
2020,6,1,82799,81512,31148828.169998504,65941,24292,Colima
2020,16,1,276254,271103,95421162.50999147,221448,113469,Michoacán de Ocampo
2022,14,2,772302,767592,328657213.4400027,680158,262903,Jalisco
2022,15,1,1055004,1054435,501197544.07004356,886947,416768,Estado México
2022,9,1,1936333,1933701,1235573684.3400483,1697495,858423,Ciudad de México
2022,30,2,282494,272998,123342789.45000303,256766,223835,Veracruz de Ignacio de la Llave
2022,27,1,165643,163439,79274832.0199986,119517,73142,Tabasco
2022,11,2,407619,407364,149369223.88999525,358812,122150,Guanajuato
2022,24,1,278864,273764,144615187.32000422,230087,63790,San Luis Potosí
2022,2,2,424090,423410,200557603.419995,392755,78955,Baja California
