anio,cve_entidad,rango_salarial,ta,ta_sal,masa_sal_ta,permanentes,no_trabajadores,entidad
2018,24,W5,31968,31968,12631814.490000019,26305,0,San Luis Potosí
2018,9,W8,108031,108031,71268965.25999999,94108,0,Ciudad de México
2018,9,W18,18775,18775,29025037.539999977,17328,0,Ciudad de México
2018,26,W6,26615,26615,12896216.509999963,22859,0,Sonora
2018,11,W14,4874,4874,5818089.7499999935,4360,0,Guanajuato
2018,11,W20,1481,1481,2551196.8800000004,1329,0,Guanajuato
2018,12,W2,82342,82342,9630772.099999718,67348,0,Guerrero
2018,12,W6,6093,6093,2953356.570000005,4884,0,Guerrero
2018,16,W6,25392,25392,12292073.94,22309,0,Michoacán de Ocampo
2018,16,W7,15454,15454,8804215.259999992,13459,0,Michoacán de Ocampo
2018,16,W19,781,781,1275412.13,670,0,Michoacán de Ocampo
2018,32,W3,35306,35306,7565618.619999999,29818,0,Zacatecas
2018,32,W6,9506,9506,4628810.689999992,7978,0,Zacatecas
2018,32,W16,688,688,943704.3800000009,599,0,Zacatecas
2018,3,W11,1584,1584,1466439.3699999982,1222,0,Baja California Sur
2018,10,W4,22459,22459,6887657.290000002,19629,0,Durango
2018,10,W14,1288,1288,1539378.7300000002,1140,0,Durango
2018,31,W19,536,536,875345.3399999997,521,0,Yucatán
2018,31,W21,299,299,541591.53,286,0,Yucatán
2018,31,W17,831,831,1213541.7200000002,795,0,Yucatán
2018,4,W3,17882,17882,3874975.2700000075,14705,0,Campeche
2018,4,W10,2104,2104,1756560.4399999983,1506,0,Campeche
2018,5,W5,62519,62519,24737494.450000048,54924,0,Coahuila de Zaragoza
2018,5,W8,22621,22621,14925492.179999974,19829,0,Coahuila de Zaragoza
2018,5,W13,5873,5873,6474994.959999994,5122,0,Coahuila de Zaragoza
2018,5,W16,3538,3538,4842012.929999999,3257,0,Coahuila de Zaragoza
2018,18,W17,294,294,427252.8700000001,261,0,Nayarit
2018,21,W6,24755,24755,11996748.880000012,20719,0,Puebla
2018,25,W18,844,844,1310964.3899999997,804,0,Sinaloa
2018,25,W15,1535,1535,1963053.56,1419,0,Sinaloa
2018,30,W17,3143,3143,4579557.039999998,2989,0,Veracruz de Ignacio de la Llave
2018,30,W22,1466,1466,2782179.759999999,1399,0,Veracruz de Ignacio de la Llave
2018,30,W19,2088,2088,3413905.7399999998,1993,0,Veracruz de Ignacio de la Llave
2018,6,W3,20780,20780,4467794.680000003,16633,0,Colima
2018,6,W4,12553,12553,3856586.5100000035,9127,0,Colima
2018,6,W18,299,299,461893.7499999998,265,0,Colima
2018,27,W17,583,583,848539.5700000002,534,0,Tabasco
2018,27,W19,422,422,688614.4199999999,391,0,Tabasco
2018,28,W20,1333,1333,2295449.0400000005,1261,0,Tamaulipas
2018,28,W22,1131,1131,2144819.0,1058,0,Tamaulipas
2018,7,W1,90,90,7891.969999999989,82,0,Chiapas
2018,8,W15,4525,4525,5795816.2500000065,4263,0,Chihuahua
2018,8,W12,7796,7796,7912041.6000000015,7255,0,Chihuahua
2018,8,W17,3179,3179,4636140.859999999,3024,0,Chihuahua
2018,8,W1,483,483,42456.71000000008,452,0,Chihuahua
2018,29,W7,2899,2899,1658183.9000000013,2452,0,Tlaxcala
2018,29,W17,312,312,453296.63000000006,297,0,Tlaxcala
2018,29,W21,107,107,194161.06000000006,101,0,Tlaxcala
2018,20,W4,16986,16986,5104699.32,14030,0,Oaxaca
2018,1,W1,421,421,35398.99000000004,410,0,Aguascalientes
2018,2,W3,224690,224690,48777442.13000013,209895,0,Baja California
2018,2,W20,2229,2229,3838744.179999996,2141,0,Baja California
2018,2,W11,8643,8643,8004960.469999997,7994,0,Baja California
2018,13,W10,2611,2611,2182979.07,2130,0,Hidalgo
2018,13,W11,1993,1993,1846381.9000000013,1654,0,Hidalgo
2018,13,W3,42356,42356,9228052.649999969,30193,0,Hidalgo
2018,13,W16,895,895,1227291.2799999998,748,0,Hidalgo
2018,13,W19,354,354,577672.0000000001,317,0,Hidalgo
2018,13,W22,307,307,581826.4499999998,279,0,Hidalgo
2018,14,W2,696286,696286,85874545.04999834,589822,0,Jalisco
2018,14,W3,341419,341419,73581095.18000007,276436,0,Jalisco
2018,14,W19,4927,4927,8042445.149999997,4583,0,Jalisco
2018,19,W23,38067,38067,76618125.09999995,36239,0,Nuevo León
2018,5,W7,31777,31777,18099787.730000015,27925,0,Coahuila de Zaragoza
2018,22,W4,70621,70621,21624471.99000012,55818,0,Querétaro
2018,22,W19,2122,2122,3468145.320000002,1926,0,Querétaro
2018,23,,1407,0,0.0,1407,72866,Quintana Roo
2018,23,W6,15118,15118,7311785.919999968,10177,0,Quintana Roo
2018,23,W4,39309,39309,11988163.829999978,26442,0,Quintana Roo
2018,23,W1,56,56,4941.769999999999,52,0,Quintana Roo
2018,24,W23,6375,6375,12830438.990000004,5844,0,San Luis Potosí
2018,9,W22,14718,14718,27905164.370000005,13769,0,Ciudad de México
2018,9,W23,146176,146176,294255808.7099999,137441,0,Ciudad de México
2018,9,W19,16468,16468,26892715.490000017,15272,0,Ciudad de México
2018,9,W20,15661,15661,26980340.03999999,14489,0,Ciudad de México
2018,26,W7,21759,21759,12374402.170000002,18416,0,Sonora
2018,26,W4,60623,60623,18481853.719999984,51924,0,Sonora
2018,26,W1,428,428,37276.91,350,0,Sonora
2018,26,W12,4584,4584,4654625.809999995,4093,0,Sonora
2018,26,W18,1433,1433,2218399.200000001,1343,0,Sonora
2018,11,W3,206731,206731,44557637.189999804,171343,0,Guanajuato
2018,11,W2,431411,431411,52614945.32999883,375491,0,Guanajuato
2018,11,W23,10041,10041,20204915.39,9214,0,Guanajuato
2018,11,W16,3452,3452,4723453.07,3174,0,Guanajuato
2018,12,W5,8164,8164,3231478.589999998,6319,0,Guerrero
2018,12,W20,284,284,489116.5100000001,270,0,Guerrero
2018,12,W22,180,180,341461.78,166,0,Guerrero
2018,16,W9,6200,6200,4643860.769999998,5563,0,Michoacán de Ocampo
2018,16,W1,625,625,55220.30000000012,418,0,Michoacán de Ocampo
2018,16,W17,954,954,1387408.0300000005,881,0,Michoacán de Ocampo
2018,17,W17,785,785,1141468.1200000003,738,0,Morelos
2018,17,W6,12076,12076,5865002.619999998,10314,0,Morelos
2018,32,W2,74844,74844,9136891.999999398,64513,0,Zacatecas
2018,32,W19,315,315,513899.7100000004,285,0,Zacatecas
2018,3,W5,11431,11431,4515475.800000002,7791,0,Baja California Sur
2018,3,W10,2546,2546,2133342.5199999986,1974,0,Baja California Sur
2018,3,W23,1925,1925,3872968.9500000007,1723,0,Baja California Sur
2018,3,W13,1129,1129,1245431.2799999993,866,0,Baja California Sur
2018,3,W12,1327,1327,1347475.5299999993,1062,0,Baja California Sur
2018,31,W9,4133,4133,3094731.2599999984,3791,0,Yucatán
2018,31,W2,176541,176541,20513326.9199986,157142,0,Yucatán
2018,31,W18,631,631,974342.3400000001,598,0,Yucatán
2018,31,,933,0,0.0,933,109631,Yucatán
2018,4,W23,3392,3392,6826075.32,2865,0,Campeche
2018,4,W13,1258,1258,1385121.0700000003,824,0,Campeche
2018,5,W19,1896,1896,3098980.120000001,1778,0,Coahuila de Zaragoza
2018,18,W7,3999,3999,2276448.4000000004,3308,0,Nayarit
2018,18,W9,1964,1964,1468383.6900000002,1696,0,Nayarit
2018,18,W12,756,756,766870.1299999983,670,0,Nayarit
2018,18,W14,565,565,676403.1799999998,491,0,Nayarit
2018,18,W1,124,124,10937.839999999998,117,0,Nayarit
2018,21,W12,5488,5488,5569286.1099999985,4901,0,Puebla
2018,21,W19,1205,1205,1969014.8900000001,1070,0,Puebla
2018,21,W10,8490,8490,7131307.460000012,7338,0,Puebla
2018,21,W22,1018,1018,1929935.6100000003,914,0,Puebla
2018,21,,4787,0,0.0,4787,395125,Puebla
2018,25,W4,53255,53255,16645125.189999979,45011,0,Sinaloa
2018,25,W9,5666,5666,4242451.969999998,5047,0,Sinaloa
2018,30,W10,15435,15435,13056045.799999995,13792,0,Veracruz de Ignacio de la Llave
2018,30,W18,2690,2690,4144004.200000003,2551,0,Veracruz de Ignacio de la Llave
2018,6,W10,1486,1486,1242059.2600000005,1134,0,Colima
2018,27,W3,28392,28392,6109209.249999987,22673,0,Tabasco
2018,27,W5,8548,8548,3368926.0,6797,0,Tabasco
2018,27,W9,2702,2702,2020469.5400000026,2349,0,Tabasco
2018,7,W8,5262,5262,3468476.48,4772,0,Chiapas
2018,7,W12,1734,1734,1760441.9299999983,1588,0,Chiapas
2018,7,W16,796,796,1090597.8699999996,762,0,Chiapas
2018,7,W19,456,456,745755.9400000002,432,0,Chiapas
2018,7,W9,4292,4292,3220235.709999999,3992,0,Chiapas
2018,8,W16,3705,3705,5072234.9,3480,0,Chihuahua
2018,8,W23,10682,10682,21489351.490000002,10428,0,Chihuahua
2018,29,W4,11936,11936,3635838.880000005,8572,0,Tlaxcala
2018,29,W12,764,764,775457.5699999998,703,0,Tlaxcala
2018,20,W22,174,174,330167.6500000001,169,0,Oaxaca
2018,20,W16,612,612,838347.0699999998,582,0,Oaxaca
2018,1,W4,36466,36466,11221355.369999962,32803,0,Aguascalientes
2018,1,W11,3648,3648,3367956.3899999987,3452,0,Aguascalientes
2018,1,W20,499,499,860119.23,480,0,Aguascalientes
2018,13,W4,25742,25742,7854284.959999971,18680,0,Hidalgo
2018,13,,424,0,0.0,424,169391,Hidalgo
2018,14,W4,189852,189852,58036207.09000034,159177,0,Jalisco
2018,14,W12,15797,15797,16022482.600000005,14182,0,Jalisco
2018,14,W14,11218,11218,13411371.659999989,10099,0,Jalisco
2018,14,W10,29380,29380,24558001.370000012,26854,0,Jalisco
2018,14,W17,6315,6315,9190705.249999996,5868,0,Jalisco
