anio,rango_edad,sexo,ta,ta_sal,masa_sal_ta,permanentes,no_trabajadores
2024,E2,2,170042,170003,57356370.08,147556,1740664
2024,E8,1,1406503,1397435,978323559.68,1228539,19627
2024,E9,2,807249,801891,447804993.56,737950,34625
2024,E10,2,539703,534942,276599354.28,498866,90531
2024,E3,1,1564689,1563865,647164988.45,1269892,1195457
2024,E6,1,1769796,1764963,1245091632.52,1503276,56733
2024,E11,1,347182,341844,201891833.87,309419,70504
2024,E5,1,2058489,2054998,1328004218.32,1728742,184781
2024,E10,1,900552,889406,571298382.0,800876,110417
2024,E1,2,48,47,14429.61,44,42981
2024,E4,2,1432387,1431024,715925202.24,1243192,522371
2024,E14,2,10550,9835,4346290.77,10165,27636
2024,E1,1,141,136,45240.89,93,39931
2024,E2,1,309704,309646,107297903.71,249574,1637974
2026,E9,1,1314215,1306492,1002615794.6999695,1153926,23106
2026,E7,2,1151290,1148809,815525204.0999881,1034581,33332
2026,E7,3,1,1,589.4,1,1
2026,E14,1,26995,26256,13461623.50999999,24923,14788
2026,E1,2,48,47,20642.190000000002,46,36550
2026,E10,2,631770,627932,375712629.8400038,586330,88843
2026,E2,2,140289,140271,57028312.35000011,125032,1833396
2026,E3,3,18,18,8129.72,16,24
2026,E11,3,1,1,1973.01,1,1
2026,E11,1,371016,368387,246634349.9711573,330352,64917
2026,E4,1,2036278,2034929,1238840423.0499592,1704143,551373
2026,E6,1,1836918,1833801,1453348283.9999473,1555816,66280
2026,E8,1,1424987,1419412,1135163815.0099616,1234487,19039
2026,E13,2,21821,21327,10563767.27999998,20792,13582
2026,E8,3,2,2,1995.72,2,1
2026,E3,1,1471618,1471000,709619164.2599921,1221939,1106983
2026,E6,2,1295928,1293972,906179413.5799785,1155299,67867
2026,E9,2,867688,863868,557824125.5000037,795329,33375
2026,E12,1,125123,123816,70222398.85000046,111359,18926
2026,E7,1,1608539,1604362,1310088665.9599483,1375074,28701
2026,E3,2,941642,941260,436861733.2700019,830510,1221011
2026,E2,3,2,2,907.55,2,3
2026,E1,1,90,87,38084.939999999995,68,32349
2026,E5,1,2047001,2044728,1489918426.099945,1722402,194337
2026,E11,2,230442,228802,129681245.55000114,217109,55034
2026,E4,3,28,28,17459.130000000005,22,14
2026,E6,3,8,8,7704.83,7,3
2026,E2,1,275950,275913,114214877.75000097,230104,1706724
2026,E12,2,65648,64760,33675612.80999991,62269,21425
2026,E14,2,13469,12922,6314509.320000003,12952,27204
2026,E5,2,1417359,1415858,943014932.7471771,1255405,178353
2026,E8,2,989589,986606,674693582.7899992,897662,24535
2026,E10,1,998540,990927,722162435.7371948,885408,103150
2026,E13,1,47981,47198,24856286.859999985,43186,10007
2026,E4,2,1446163,1445191,826192799.889983,1273560,522747
2026,E5,3,16,16,11377.989999999998,14,8
