anio,sexo,rango_salarial,ta,ta_sal,masa_sal_ta,permanentes,no_trabajadores
2022,2,W2,4959282,4959282,1149379156.09,4359043,0
2022,1,W12,70105,70105,139133386.47,65131,0
2022,1,W8,205662,205662,265559305.2,182974,0
2022,2,W11,42016,42016,76068242.81,39463,0
2022,2,W3,1415101,1415101,589531362.05,1261023,0
2022,2,W14,126057,126057,301827220.76,119717,0
2022,2,W10,61791,61791,101083278.2,57867,0
2022,2,W7,146052,146052,163164895.21,132937,0
2022,1,W11,90542,90542,163951904.63,83497,0
2022,2,W9,85461,85461,125541774.55,79403,0
2022,1,,76255,0,0.0,76255,3869424
2024,1,W5,582774,582774,645323855.7599999,503756,0
2024,1,W9,115979,115979,244661627.0300002,106472,0
2024,1,W6,343786,343786,467553121.8799996,300057,0
2024,2,W1,86423,86423,21315370.72000022,84941,0
2024,1,W11,393775,393775,1060971686.8400002,369625,0
2024,2,W5,291713,291713,322962881.1999999,262031,0
2024,1,W8,168307,168307,312936420.9800005,152885,0
2024,2,W9,54077,54077,114018913.57000004,50565,0
2024,2,W2,5948370,5948370,1957690809.2297273,5239961,0
2024,1,W4,1087388,1087388,932752952.7600006,912892,0
2024,2,W11,150121,150121,404072526.54,142292,0
2024,2,W7,122416,122416,197805941.33000007,112547,0
2024,2,W3,1402178,1402178,839660999.3099985,1244843,0
2024,2,W4,574073,574073,491394495.82999915,511502,0
2024,1,W10,88731,88731,209302115.05999994,82092,0
2024,2,W8,86085,86085,159901628.90000004,80348,0
2024,1,W2,7965491,7965491,2597194667.709343,6683547,0
2024,2,,30319,0,0.0,30319,4120046
2024,2,W10,39454,39454,93028299.07999994,36936,0
2024,1,,59969,0,0.0,59969,3970454
2024,1,W1,106716,106716,26303070.950000286,105178,0
2024,1,W3,2284523,2284523,1389472719.7600043,1946384,0
2024,2,W6,177465,177465,241464198.55000007,159442,0
2024,1,W7,229702,229702,370301258.0400002,204584,0
2026,2,W6,155925,155925,268443745.13,141132,0
2026,1,W5,497228,497228,697153988.33,440869,0
2026,3,W6,2,2,3563.61,2,0
2026,3,,0,0,0.0,0,55
2026,2,W5,255776,255776,358579039.95,232416,0
2026,1,W4,936034,936034,1016330159.21,819316,0
2026,2,W7,112663,112663,229018795.64,106080,0
2026,1,W8,132814,132814,312576432.8,122009,0
2026,1,W2,8746397,8746397,3594317971.388354,7319547,0
2026,2,W4,496641,496641,537749714.87,448552,0
2026,3,W3,13,13,10218.09,11,0
2026,1,W3,2060763,2060763,1575732038.97,1763701,0
2026,3,W4,8,8,8599.26,7,0
2026,1,W7,204527,204527,416270459.9,186977,0
2026,3,W5,2,2,2837.66,2,0
2026,2,W9,46076,46076,123389755.29,43440,0
2026,1,W6,293630,293630,505308726.96,261208,0
2026,3,W2,48,48,19697.93,40,0
2026,2,W8,63939,63939,150415383.74,59776,0
2026,2,W10,143999,143999,421809496.08,136772,0
2026,2,W1,172477,172477,54119463.660000004,170669,0
2026,1,W1,206829,206829,64896896.76,200518,0
2026,1,W9,103053,103053,276253603.3,95892,0
2026,2,W3,1235978,1235978,938050398.03,1105802,0
2026,2,,21521,0,0.0,21521,4157254
2026,3,W10,1,1,2932.75,1,0
2026,1,W10,366033,366033,1072344353.08,345207,0
2026,2,W2,6508151,6508151,2691712718.8272,5800716,0
2026,1,,37943,0,0.0,37943,3940680
2026,3,W7,1,1,1973.01,1,0
2026,3,W1,1,1,315.04,1,0
