anio,rango_uma,ta,ta_sal,masa_sal_ta,permanentes,no_trabajadores
2026,W16,146994,146994,267218467.49000007,134140,0
2026,W20,79685,79685,182150104.42000002,73739,0
2026,W18,115795,115795,237493689.75000012,106957,0
2026,W4,5054906,5054906,2063187814.861098,4212876,0
2026,W25,526570,526570,1540908474.1399992,497686,0
2026,W17,139357,139357,269384991.28,128597,0
2026,W22,60056,60056,151424270.67999998,55645,0
2026,W13,251244,251244,367826973.7600004,224734,0
2026,W24,49701,49701,136921679.2,46407,0
2026,W11,398681,398681,490194770.1099994,355076,0
2026,W1,379307,379307,119016675.45999478,371188,0
2026,W8,902999,902999,791558087.8199971,785035,0
2026,W7,1256118,1256118,952862154.0299993,1095216,0
2026,W15,167514,167514,284760442.46000016,151863,0
2026,W5,3192221,3192221,1664440382.3100085,2739641,0
2026,W6,1889872,1889872,1212482508.8300006,1644354,0
2026,W10,509279,509279,566038005.9299991,451292,0
2026,W19,95827,95827,207770888.91,88733,0
2026,W23,52647,52647,138828141.04999992,49052,0
