tipo_inversion,anio,trimestre,confidencial,ied_acumulado_mdd,flujo_mdd
Total general,2018,4,False,31604.29418,7470.314750000001
Total general,2019,1,False,10161.95821,10161.95821
Total general,2019,2,False,18102.45,7940.49179
Total general,2019,3,False,26055.60837,7953.158370000001
Total general,2019,4,False,32921.23555,6865.627179999996
Total general,2020,1,False,10334.03857,10334.03857
Total general,2020,2,False,17969.26465,7635.22608
Total general,2020,3,False,23482.31884,5513.054189999999
Total general,2020,4,False,29079.43309,5597.114249999999
Total general,2021,1,False,11864.03046,11864.03046
Total general,2021,2,False,18433.46954,6569.439079999998
Total general,2021,3,False,24831.72427,6398.254730000001
Total general,2021,4,False,31621.20435,6789.480080000001
Total general,2022,1,False,19427.45779,19427.45779
Total general,2022,2,False,27511.62373,8084.165939999999
Total general,2022,3,False,32147.38886,4635.76513
Total general,2022,4,False,35291.61836,3144.2295000000013
Total general,2023,1,False,18635.69179,18635.69179
Total general,2023,2,False,29040.82387,10405.13208
Total general,2023,3,False,32926.4368,3885.612930000003
Total general,2023,4,False,36058.04378,3131.606979999997
Total general,2024,1,False,20312.65875,20312.65875
Total general,2024,2,False,31096.32511,10783.666360000003
Total general,2024,3,False,35737.48954,4641.164430000001
Total general,2024,4,False,36872.42195,1134.9324100000013
Total general,2025,1,False,21373.19311,21373.19311
Total general,2025,2,False,34264.56746,12891.374349999998
Total general,2025,3,False,40905.61372,6641.046260000003
Total general,2025,4,False,40870.76933,-34.844389999998384
Total general,2026,1,False,23590.62205,23590.62205
