pais_origen,anio,trimestre,confidencial,ied_acumulado_mdd,flujo_mdd
Albania,2020,4,False,0.0,0.0
Albania,2021,1,False,0.0,0.0
Albania,2021,2,False,0.0,0.0
Albania,2021,3,False,0.0,0.0
Albania,2021,4,False,0.0,0.0
Albania,2022,1,False,0.0,0.0
Albania,2022,2,False,0.0,0.0
Albania,2022,3,False,0.0,0.0
Albania,2022,4,False,0.0,0.0
Albania,2023,1,False,0.0,0.0
Albania,2023,2,False,0.0,0.0
Albania,2023,3,False,0.0,0.0
Albania,2023,4,False,0.0,0.0
Albania,2024,1,False,0.0,0.0
Albania,2024,2,False,0.0,0.0
Albania,2024,3,True,,
Albania,2024,4,True,,
Albania,2025,1,False,0.0,0.0
Albania,2025,2,False,0.0,0.0
Albania,2025,3,False,0.0,0.0
Albania,2025,4,False,0.0,0.0
Alemania,2006,1,False,162.5186,162.5186
Alemania,2006,2,False,370.821615,208.30301500000002
Alemania,2006,3,False,522.1823127,151.3606977
Alemania,2006,4,False,728.8986597,206.71634700000004
Alemania,2007,1,False,152.508877,152.508877
Alemania,2007,2,False,250.612197,98.10332
Alemania,2007,3,False,1670.838081,1420.2258840000002
Alemania,2007,4,False,2061.345628,390.50754699999993
Alemania,2008,1,False,145.144046,145.144046
Alemania,2008,2,False,326.782381,181.63833499999998
Alemania,2008,3,False,461.7058936,134.92351260000004
Alemania,2008,4,False,652.9104986,191.20460499999996
Alemania,2009,1,False,156.9502545,156.9502545
Alemania,2009,2,False,310.9685881,154.01833359999998
Alemania,2009,3,False,343.9467532,32.97816510000001
Alemania,2009,4,False,376.6711525,32.724399300000016
Alemania,2010,1,False,336.769396,336.769396
Alemania,2010,2,False,113.1186068,-223.65078919999996
Alemania,2010,3,False,161.8371605,48.718553700000015
Alemania,2010,4,False,524.202567,362.36540650000006
Alemania,2011,1,False,135.6782291,135.6782291
Alemania,2011,2,False,389.2320297,253.5538006
Alemania,2011,3,False,733.4036747,344.171645
Alemania,2011,4,False,737.9400891,4.536414400000012
Alemania,2012,1,False,622.4614751,622.4614751
Alemania,2012,2,False,951.1347235,328.6732483999999
Alemania,2012,3,False,1103.821399,152.68667549999998
Alemania,2012,4,False,1335.452884,231.6314850000001
Alemania,2013,1,False,759.2842165,759.2842165
Alemania,2013,2,False,1321.99804,562.7138235
Alemania,2013,3,False,1566.144395,244.14635500000009
Alemania,2013,4,False,2062.398135,496.2537399999999
Alemania,2014,1,False,506.224108,506.224108
Alemania,2014,2,False,982.2662372,476.0421292
Alemania,2014,3,False,1618.310188,636.0439508
Alemania,2014,4,False,2232.298664,613.988476
Alemania,2015,1,False,210.7678208,210.7678208
Alemania,2015,2,False,513.2838426,302.5160218
Alemania,2015,3,False,819.3673849,306.0835423000001
Alemania,2015,4,False,1386.882322,567.5149370999999
Alemania,2016,1,False,871.366597,871.366597
Alemania,2016,2,False,1576.226887,704.8602900000001
Alemania,2016,3,False,2354.991652,778.7647650000001
Alemania,2016,4,False,3000.154858,645.1632059999997
Alemania,2017,1,False,1091.297857,1091.297857
Alemania,2017,2,False,1344.172634,252.874777
Alemania,2017,3,False,1781.162484,436.98984999999993
Alemania,2017,4,False,2959.18082,1178.018336
Alemania,2018,1,False,460.1233972,460.1233972
Alemania,2018,2,False,1853.318363,1393.1949658
Alemania,2018,3,False,2605.226015,751.9076520000001
Alemania,2018,4,False,3165.101267,559.8752519999998
Alemania,2019,1,False,1045.045123,1045.045123
Alemania,2019,2,False,1706.288447,661.2433239999998
Alemania,2019,3,False,3076.667604,1370.3791570000003
Alemania,2019,4,False,3744.052028,667.3844239999999
Alemania,2020,1,False,911.6336215,911.6336215
Alemania,2020,2,False,1580.539316,668.9056945000001
Alemania,2020,3,False,970.6336328,-609.9056832000001
Alemania,2020,4,False,1510.661602,540.0279691999999
Alemania,2021,1,False,536.5431609,536.5431609
Alemania,2021,2,False,1230.093199,693.5500380999999
Alemania,2021,3,False,1765.029351,534.936152
Alemania,2021,4,False,2246.869079,481.83972800000015
Alemania,2022,1,False,465.0242105,465.0242105
Alemania,2022,2,False,786.1298617,321.1056512
Alemania,2022,3,False,923.2512998,137.12143809999998
Alemania,2022,4,False,-41.50393877,-964.75523857
Alemania,2023,1,False,2177.709013,2177.709013
Alemania,2023,2,False,2540.261454,362.5524409999998
Alemania,2023,3,False,2913.157703,372.8962489999999
Alemania,2023,4,False,2243.835473,-669.3222299999998
Alemania,2024,1,False,2267.103401,2267.103401
Alemania,2024,2,False,4214.018538,1946.9151370000004
Alemania,2024,3,False,3908.49754,-305.5209980000004
Alemania,2024,4,False,3741.099487,-167.3980529999999
Alemania,2025,1,False,1145.959886,1145.959886
Alemania,2025,2,False,1678.141474,532.1815879999999
Alemania,2025,3,False,1825.05417,146.9126960000001
Alemania,2025,4,False,739.1041405,-1085.9500295000003
Andorra,2006,1,False,0.0,0.0
Andorra,2006,2,False,0.0,0.0
Andorra,2006,3,False,0.0,0.0
Andorra,2006,4,False,0.0,0.0
Andorra,2007,1,False,0.0,0.0
Andorra,2007,2,False,0.0,0.0
Andorra,2007,3,False,0.0,0.0
Andorra,2007,4,False,0.0,0.0
Andorra,2008,1,False,0.0,0.0
Andorra,2008,2,False,0.0,0.0
Andorra,2008,3,False,0.0,0.0
Andorra,2008,4,False,0.0,0.0
Andorra,2009,1,False,0.0,0.0
Andorra,2009,2,False,0.0,0.0
Andorra,2009,3,False,0.0,0.0
Andorra,2009,4,False,0.0,0.0
Andorra,2010,1,False,0.0,0.0
Andorra,2010,2,False,0.0,0.0
Andorra,2010,3,False,0.0,0.0
Andorra,2010,4,False,0.0,0.0
Andorra,2011,1,True,,
Andorra,2011,2,True,,
Andorra,2011,3,True,,
Andorra,2011,4,True,,
Andorra,2012,1,False,0.0,0.0
Andorra,2012,2,False,0.001657,0.001657
Andorra,2012,3,False,0.001657,0.0
Andorra,2012,4,False,0.001657,0.0
Andorra,2013,1,False,0.0,0.0
Andorra,2013,2,False,0.0,0.0
Andorra,2013,3,False,0.0,0.0
Andorra,2013,4,False,0.0,0.0
Andorra,2014,1,False,0.0,0.0
Andorra,2014,2,False,0.0,0.0
Andorra,2014,3,False,0.0,0.0
Andorra,2014,4,False,0.0,0.0
Andorra,2015,1,False,0.0,0.0
Andorra,2015,2,False,0.0,0.0
Andorra,2015,3,False,0.0,0.0
Andorra,2015,4,False,0.0,0.0
Andorra,2016,1,False,0.0,0.0
Andorra,2016,2,False,0.0,0.0
Andorra,2016,3,False,0.0,0.0
Andorra,2016,4,False,0.0,0.0
Andorra,2017,1,False,0.0,0.0
Andorra,2017,2,False,0.0,0.0
Andorra,2017,3,False,0.0,0.0
Andorra,2017,4,True,,
Andorra,2018,1,False,0.0,0.0
Andorra,2018,2,False,0.0,0.0
Andorra,2018,3,False,0.0,0.0
Andorra,2018,4,False,0.0,0.0
Andorra,2019,1,False,0.0,0.0
Andorra,2019,2,True,,
Andorra,2019,3,True,,
Andorra,2019,4,True,,
Andorra,2020,1,True,,
Andorra,2020,2,True,,
Andorra,2020,3,True,,
Andorra,2020,4,True,,
Andorra,2021,1,False,0.0,0.0
Andorra,2021,2,False,0.0,0.0
Andorra,2021,3,False,0.0,0.0
Andorra,2021,4,False,0.0,0.0
Andorra,2022,1,False,0.0,0.0
Andorra,2022,2,False,0.0,0.0
Andorra,2022,3,True,,
Andorra,2022,4,True,,
Andorra,2023,1,True,,
Andorra,2023,2,True,,
Andorra,2023,3,True,,
Andorra,2023,4,True,,
Andorra,2024,1,False,0.0,0.0
Andorra,2024,2,False,0.0,0.0
Andorra,2024,3,False,0.0,0.0
Andorra,2024,4,False,0.0,0.0
Andorra,2025,1,False,0.0,0.0
Andorra,2025,2,False,0.0,0.0
Andorra,2025,3,True,,
Andorra,2025,4,True,,
Antigua y Barbuda,2006,1,False,0.0,0.0
Antigua y Barbuda,2006,2,False,0.0,0.0
Antigua y Barbuda,2006,3,False,0.0,0.0
Antigua y Barbuda,2006,4,False,0.0,0.0
Antigua y Barbuda,2007,1,False,0.0,0.0
Antigua y Barbuda,2007,2,False,0.0,0.0
Antigua y Barbuda,2007,3,False,0.0,0.0
Antigua y Barbuda,2007,4,False,0.0,0.0
Antigua y Barbuda,2008,1,False,0.0,0.0
Antigua y Barbuda,2008,2,False,0.0,0.0
Antigua y Barbuda,2008,3,False,0.0,0.0
Antigua y Barbuda,2008,4,False,0.0,0.0
Antigua y Barbuda,2009,1,False,0.0,0.0
Antigua y Barbuda,2009,2,False,0.0,0.0
Antigua y Barbuda,2009,3,False,0.0,0.0
Antigua y Barbuda,2009,4,False,0.0,0.0
Antigua y Barbuda,2010,1,False,0.0,0.0
Antigua y Barbuda,2010,2,False,0.0,0.0
Antigua y Barbuda,2010,3,False,0.0,0.0
Antigua y Barbuda,2010,4,False,0.0,0.0
Antigua y Barbuda,2011,1,False,0.0,0.0
Antigua y Barbuda,2011,2,False,0.0,0.0
Antigua y Barbuda,2011,3,False,0.0,0.0
Antigua y Barbuda,2011,4,False,0.0,0.0
Antigua y Barbuda,2012,1,False,0.0,0.0
Antigua y Barbuda,2012,2,False,0.0,0.0
Antigua y Barbuda,2012,3,False,0.0,0.0
Antigua y Barbuda,2012,4,False,0.0,0.0
Antigua y Barbuda,2013,1,False,0.0,0.0
Antigua y Barbuda,2013,2,False,0.0,0.0
Antigua y Barbuda,2013,3,False,0.0,0.0
Antigua y Barbuda,2013,4,False,0.0,0.0
Antigua y Barbuda,2014,1,False,0.0,0.0
Antigua y Barbuda,2014,2,False,0.0,0.0
Antigua y Barbuda,2014,3,False,0.0,0.0
Antigua y Barbuda,2014,4,False,0.0,0.0
Antigua y Barbuda,2015,1,False,0.0,0.0
Antigua y Barbuda,2015,2,False,0.0,0.0
Antigua y Barbuda,2015,3,False,0.0,0.0
Antigua y Barbuda,2015,4,False,0.0,0.0
Antigua y Barbuda,2016,1,False,0.0,0.0
Antigua y Barbuda,2016,2,False,0.0,0.0
Antigua y Barbuda,2016,3,False,0.0,0.0
Antigua y Barbuda,2016,4,False,0.0,0.0
Antigua y Barbuda,2017,1,False,0.0,0.0
Antigua y Barbuda,2017,2,False,0.0,0.0
Antigua y Barbuda,2017,3,False,0.0,0.0
Antigua y Barbuda,2017,4,False,0.0,0.0
Antigua y Barbuda,2018,1,False,0.0,0.0
Antigua y Barbuda,2018,2,False,0.0,0.0
Antigua y Barbuda,2018,3,False,0.0,0.0
Antigua y Barbuda,2018,4,False,0.0,0.0
Antigua y Barbuda,2019,1,False,0.0,0.0
Antigua y Barbuda,2019,2,False,0.0,0.0
Antigua y Barbuda,2019,3,False,0.0,0.0
Antigua y Barbuda,2019,4,False,0.0,0.0
Antigua y Barbuda,2020,1,False,0.0,0.0
Antigua y Barbuda,2020,2,False,0.0,0.0
Antigua y Barbuda,2020,3,False,0.0,0.0
Antigua y Barbuda,2020,4,False,0.0,0.0
Antigua y Barbuda,2021,1,False,0.0,0.0
Antigua y Barbuda,2021,2,False,0.0,0.0
Antigua y Barbuda,2021,3,False,0.0,0.0
Antigua y Barbuda,2021,4,False,0.0,0.0
Antigua y Barbuda,2022,1,False,0.0,0.0
Antigua y Barbuda,2022,2,False,0.0,0.0
Antigua y Barbuda,2022,3,False,0.0,0.0
Antigua y Barbuda,2022,4,True,,
Antigua y Barbuda,2023,1,False,0.0,0.0
Antigua y Barbuda,2023,2,False,0.0,0.0
Antigua y Barbuda,2023,3,False,0.0,0.0
Antigua y Barbuda,2023,4,False,0.0,0.0
Antigua y Barbuda,2024,1,False,0.0,0.0
Antigua y Barbuda,2024,2,False,0.0,0.0
Antigua y Barbuda,2024,3,False,0.0,0.0
Antigua y Barbuda,2024,4,False,0.0,0.0
Antigua y Barbuda,2025,1,False,0.0,0.0
Antigua y Barbuda,2025,2,False,0.0,0.0
Antigua y Barbuda,2025,3,False,0.0,0.0
Antigua y Barbuda,2025,4,True,,
Arabia Saudita,2006,1,True,,
Arabia Saudita,2006,2,True,,
Arabia Saudita,2006,3,False,0.490097,
Arabia Saudita,2006,4,False,0.829709,0.339612
Arabia Saudita,2007,1,True,,
Arabia Saudita,2007,2,True,,
Arabia Saudita,2007,3,False,38.091711,
Arabia Saudita,2007,4,False,38.20703,0.11531900000000661
Arabia Saudita,2008,1,False,0.0,0.0
Arabia Saudita,2008,2,False,0.0,0.0
Arabia Saudita,2008,3,False,0.0,0.0
Arabia Saudita,2008,4,True,,
Arabia Saudita,2009,1,True,,
Arabia Saudita,2009,2,True,,
Arabia Saudita,2009,3,True,,
Arabia Saudita,2009,4,True,,
Arabia Saudita,2010,1,False,87.070585,87.070585
Arabia Saudita,2010,2,False,87.070585,0.0
Arabia Saudita,2010,3,False,87.070585,0.0
Arabia Saudita,2010,4,False,87.070585,0.0
Arabia Saudita,2011,1,True,,
Arabia Saudita,2011,2,True,,
Arabia Saudita,2011,3,True,,
Arabia Saudita,2011,4,False,9.988125,
Arabia Saudita,2012,1,False,0.0,0.0
Arabia Saudita,2012,2,False,0.0,0.0
Arabia Saudita,2012,3,False,0.0,0.0
Arabia Saudita,2012,4,True,,
Arabia Saudita,2013,1,False,0.0,0.0
Arabia Saudita,2013,2,True,,
Arabia Saudita,2013,3,True,,
Arabia Saudita,2013,4,True,,
Arabia Saudita,2014,1,True,,
Arabia Saudita,2014,2,True,,
Arabia Saudita,2014,3,True,,
Arabia Saudita,2014,4,False,9.271818,
Arabia Saudita,2015,1,False,0.0,0.0
Arabia Saudita,2015,2,False,0.0,0.0
Arabia Saudita,2015,3,False,0.0,0.0
Arabia Saudita,2015,4,False,0.0,0.0
Arabia Saudita,2016,1,False,0.0,0.0
Arabia Saudita,2016,2,False,0.0,0.0
Arabia Saudita,2016,3,False,0.0,0.0
Arabia Saudita,2016,4,True,,
Arabia Saudita,2017,1,True,,
Arabia Saudita,2017,2,True,,
Arabia Saudita,2017,3,True,,
Arabia Saudita,2017,4,False,5.88576837,
Arabia Saudita,2018,1,True,,
Arabia Saudita,2018,2,True,,
Arabia Saudita,2018,3,False,-0.5197126,
Arabia Saudita,2018,4,False,-2.40427179,-1.88455919
Arabia Saudita,2019,1,True,,
Arabia Saudita,2019,2,False,-0.84924105,
Arabia Saudita,2019,3,False,3.50584377,4.35508482
Arabia Saudita,2019,4,False,-1.20847842,-4.71432219
Arabia Saudita,2020,1,True,,
Arabia Saudita,2020,2,True,,
Arabia Saudita,2020,3,True,,
Arabia Saudita,2020,4,True,,
Arabia Saudita,2021,1,True,,
Arabia Saudita,2021,2,True,,
Arabia Saudita,2021,3,True,,
Arabia Saudita,2021,4,True,,
Arabia Saudita,2022,1,True,,
Arabia Saudita,2022,2,True,,
Arabia Saudita,2022,3,True,,
Arabia Saudita,2022,4,True,,
Arabia Saudita,2023,1,False,0.0,0.0
Arabia Saudita,2023,2,False,0.0,0.0
Arabia Saudita,2023,3,False,0.0,0.0
Arabia Saudita,2023,4,False,0.0,0.0
Arabia Saudita,2024,1,True,,
Arabia Saudita,2024,2,True,,
Arabia Saudita,2024,3,True,,
Arabia Saudita,2024,4,True,,
Arabia Saudita,2025,1,False,0.0,0.0
Arabia Saudita,2025,2,False,0.0,0.0
Arabia Saudita,2025,3,False,0.0,0.0
Arabia Saudita,2025,4,True,,
Argelia,2006,1,False,0.0,0.0
Argelia,2006,2,False,0.0,0.0
Argelia,2006,3,False,0.0,0.0
Argelia,2006,4,False,0.0,0.0
Argelia,2007,1,False,0.0,0.0
Argelia,2007,2,False,0.0,0.0
Argelia,2007,3,False,0.0,0.0
Argelia,2007,4,False,0.0,0.0
Argelia,2008,1,False,0.0,0.0
Argelia,2008,2,False,0.0,0.0
Argelia,2008,3,False,0.0,0.0
Argelia,2008,4,False,0.0,0.0
Argelia,2009,1,False,0.0,0.0
Argelia,2009,2,False,0.0,0.0
Argelia,2009,3,False,0.0,0.0
Argelia,2009,4,False,0.0,0.0
Argelia,2010,1,False,0.0,0.0
Argelia,2010,2,False,0.0,0.0
Argelia,2010,3,False,0.0,0.0
Argelia,2010,4,False,0.0,0.0
Argelia,2011,1,False,0.0,0.0
Argelia,2011,2,False,0.0,0.0
Argelia,2011,3,False,0.0,0.0
Argelia,2011,4,False,0.0,0.0
Argelia,2012,1,False,0.0,0.0
Argelia,2012,2,True,,
Argelia,2012,3,True,,
Argelia,2012,4,True,,
Argelia,2013,1,False,0.0,0.0
Argelia,2013,2,False,0.0,0.0
Argelia,2013,3,True,,
Argelia,2013,4,True,,
Argelia,2014,1,True,,
Argelia,2014,2,False,0.345175,
Argelia,2014,3,False,0.345175,0.0
Argelia,2014,4,False,0.345175,0.0
Argelia,2015,1,False,0.0,0.0
Argelia,2015,2,False,0.0,0.0
Argelia,2015,3,False,0.0,0.0
Argelia,2015,4,False,0.0,0.0
Argelia,2016,1,False,0.0,0.0
Argelia,2016,2,False,0.0,0.0
Argelia,2016,3,False,0.0,0.0
Argelia,2016,4,False,0.0,0.0
Argelia,2017,1,False,0.0,0.0
Argelia,2017,2,False,0.0,0.0
Argelia,2017,3,True,,
Argelia,2017,4,True,,
Argelia,2018,1,False,0.0,0.0
Argelia,2018,2,False,0.0,0.0
Argelia,2018,3,False,0.0,0.0
Argelia,2018,4,False,0.0,0.0
Argelia,2019,1,False,0.0,0.0
Argelia,2019,2,False,0.0,0.0
Argelia,2019,3,True,,
Argelia,2019,4,True,,
Argelia,2020,1,False,0.0,0.0
Argelia,2020,2,False,0.0,0.0
Argelia,2020,3,False,0.0,0.0
Argelia,2020,4,False,0.0,0.0
Argelia,2021,1,False,0.0,0.0
Argelia,2021,2,False,0.0,0.0
Argelia,2021,3,False,0.0,0.0
Argelia,2021,4,False,0.0,0.0
Argelia,2022,1,True,,
Argelia,2022,2,True,,
Argelia,2022,3,True,,
Argelia,2022,4,True,,
Argelia,2023,1,False,0.0,0.0
Argelia,2023,2,False,0.0,0.0
Argelia,2023,3,True,,
Argelia,2023,4,True,,
Argelia,2024,1,False,0.0,0.0
Argelia,2024,2,False,0.0,0.0
Argelia,2024,3,False,0.0,0.0
Argelia,2024,4,False,0.0,0.0
Argelia,2025,1,False,0.0,0.0
Argelia,2025,2,False,0.0,0.0
Argelia,2025,3,False,0.0,0.0
Argelia,2025,4,False,0.0,0.0
Argentina,2006,1,False,6.60406,6.60406
Argentina,2006,2,False,263.936195,257.332135
Argentina,2006,3,False,268.630337,4.694141999999999
Argentina,2006,4,False,285.7775743,17.14723730000003
Argentina,2007,1,False,389.515271,389.515271
Argentina,2007,2,False,406.6755685,17.160297500000013
Argentina,2007,3,False,1889.774839,1483.0992704999999
Argentina,2007,4,False,1941.712113,51.937274000000116
Argentina,2008,1,False,11.579885,11.579885
Argentina,2008,2,False,43.921793,32.341908000000004
Argentina,2008,3,False,118.896454,74.974661
Argentina,2008,4,False,204.497646,85.601192
Argentina,2009,1,False,-0.6807205,-0.6807205
Argentina,2009,2,False,1.6182795,2.299
Argentina,2009,3,False,13.5790549,11.9607754
Argentina,2009,4,False,20.0481299,6.469075
Argentina,2010,1,False,-6.64292892,-6.64292892
Argentina,2010,2,False,-7.17458153,-0.5316526100000001
Argentina,2010,3,False,1.89203747,9.066619
Argentina,2010,4,False,-9.36735704,-11.25939451
Argentina,2011,1,False,23.94482474,23.94482474
Argentina,2011,2,False,61.6560579,37.71123316
Argentina,2011,3,False,79.84494969,18.188891790000007
Argentina,2011,4,False,182.3517725,102.50682281
Argentina,2012,1,False,28.81486245,28.81486245
Argentina,2012,2,False,110.5778207,81.76295825
Argentina,2012,3,False,149.5525445,38.97472380000001
Argentina,2012,4,False,436.2291797,286.67663519999996
Argentina,2013,1,False,-8.20047617,-8.20047617
Argentina,2013,2,False,181.5508424,189.75131857
Argentina,2013,3,False,115.9664585,-65.58438389999999
Argentina,2013,4,False,82.1047264,-33.8617321
Argentina,2014,1,False,46.67461137,46.67461137
Argentina,2014,2,False,148.1072789,101.43266753
Argentina,2014,3,False,-22.31075828,-170.41803718
Argentina,2014,4,False,347.73759,370.04834828
Argentina,2015,1,False,84.46547922,84.46547922
Argentina,2015,2,False,166.38416,81.91868078
Argentina,2015,3,False,246.8071174,80.4229574
Argentina,2015,4,False,520.5023167,273.6951993
Argentina,2016,1,False,34.38156141,34.38156141
Argentina,2016,2,False,100.8424306,66.46086919
Argentina,2016,3,False,231.0346902,130.1922596
Argentina,2016,4,False,293.7010888,62.66639859999998
Argentina,2017,1,False,203.7610818,203.7610818
Argentina,2017,2,False,320.7366817,116.97559990000002
Argentina,2017,3,False,356.9006672,36.16398549999997
Argentina,2017,4,False,333.2068315,-23.693835699999966
Argentina,2018,1,False,76.08857514,76.08857514
Argentina,2018,2,False,300.4743262,224.38575106000002
Argentina,2018,3,False,553.4545505,252.98022429999997
Argentina,2018,4,False,1121.820702,568.3661515
Argentina,2019,1,False,173.2186285,173.2186285
Argentina,2019,2,False,-87.85630271,-261.07493121
Argentina,2019,3,False,466.4423881,554.29869081
Argentina,2019,4,False,614.6677118,148.2253237
Argentina,2020,1,False,-259.2049315,-259.2049315
Argentina,2020,2,False,-89.67542935,169.52950214999998
Argentina,2020,3,False,134.479489,224.15491835
Argentina,2020,4,False,675.5151664,541.0356773999999
Argentina,2021,1,False,172.6723911,172.6723911
Argentina,2021,2,False,253.1226796,80.4502885
Argentina,2021,3,False,258.7796175,5.656937899999974
Argentina,2021,4,False,-478.6375665,-737.4171839999999
Argentina,2022,1,False,673.8025418,673.8025418
Argentina,2022,2,False,1671.127525,997.3249832000001
Argentina,2022,3,False,1579.116945,-92.01058000000012
Argentina,2022,4,False,2315.980956,736.8640109999999
Argentina,2023,1,False,1784.39515,1784.39515
Argentina,2023,2,False,2455.824939,671.429789
Argentina,2023,3,False,2200.362101,-255.46283799999992
Argentina,2023,4,False,2380.100349,179.73824799999966
Argentina,2024,1,False,1572.97229,1572.97229
Argentina,2024,2,False,1010.36371,-562.60858
Argentina,2024,3,False,1065.07751,54.713800000000106
Argentina,2024,4,False,1242.881261,177.80375099999992
Argentina,2025,1,False,912.0522403,912.0522403
Argentina,2025,2,False,989.0936869,77.04144659999997
Argentina,2025,3,False,1497.032339,507.9386521000001
Argentina,2025,4,False,1490.900657,-6.131682000000183
Armenia,2006,1,False,0.0,0.0
Armenia,2006,2,False,0.0,0.0
