entidad_federativa,anio,trimestre,confidencial,ied_acumulado_mdd,flujo_mdd
Baja California,2014,4,False,1223.34512296,390.52964125000005
Baja California,2015,1,False,304.36989021,304.36989021
Baja California,2015,2,False,514.75934876,210.38945854999997
Baja California,2015,3,False,811.69020743,296.93085867
Baja California,2015,4,False,1167.28454234,355.59433490999993
Baja California,2016,1,False,614.74943125,614.74943125
Baja California,2016,2,False,924.46920802,309.71977676999995
Baja California,2016,3,False,1143.21988368,218.75067566000007
Baja California,2016,4,False,1567.13298454,423.91310086
Baja California,2017,1,False,580.36985935,580.36985935
Baja California,2017,2,False,1267.64945591,687.27959656
Baja California,2017,3,False,1438.11012803,170.46067212000003
Baja California,2017,4,False,1679.27094219,241.16081415999997
Baja California,2018,1,False,742.53905325,742.53905325
Baja California,2018,2,False,990.98048936,248.44143610999993
Baja California,2018,3,False,1217.16547,226.18498063999994
Baja California,2018,4,False,1631.16054127,413.99507127000015
Baja California,2019,1,False,605.74489713,605.74489713
Baja California,2019,2,False,823.93572089,218.19082375999994
Baja California,2019,3,False,1045.36650098,221.43078008999998
Baja California,2019,4,False,1183.7322051,138.36570412000015
Baja California,2020,1,False,751.89229884,751.89229884
Baja California,2020,2,False,966.81267587,214.92037703000005
Baja California,2020,3,False,961.38864756,-5.42402831000004
Baja California,2020,4,False,1195.39233949,234.00369193000006
Baja California,2021,1,False,467.63812461,467.63812461
Baja California,2021,2,False,1790.79424412,1323.15611951
Baja California,2021,3,False,2054.43614286,263.64189874
Baja California,2021,4,False,2222.15993679,167.72379392999983
Baja California,2022,1,False,970.99449065,970.99449065
Baja California,2022,2,False,1257.75165077,286.75716012
Baja California,2022,3,False,1525.03835837,267.2867076
Baja California,2022,4,False,1877.02431991,351.98596154000006
Baja California,2023,1,False,953.46694424,953.46694424
Baja California,2023,2,False,1493.91007687,540.44313263
Baja California,2023,3,False,1149.67805595,-344.23202091999997
Baja California,2023,4,False,1414.05993405,264.3818781
Baja California,2024,1,False,1319.54004407,1319.54004407
Baja California,2024,2,False,2115.73973932,796.1996952499999
Baja California,2024,3,False,2252.82879493,137.0890556100003
Baja California,2024,4,False,2469.04558944,216.21679451
Baja California,2025,1,False,922.05237686,922.05237686
Baja California,2025,2,False,1612.98967722,690.93730036
Baja California,2025,3,False,1884.17696179,271.18728457
Baja California,2025,4,False,1892.64634401,8.469382219999943
Baja California Sur,2006,1,False,266.40190286,266.40190286
Baja California Sur,2006,2,False,411.86663211,145.46472925
Baja California Sur,2006,3,False,534.57112249,122.70449037999998
Baja California Sur,2006,4,False,592.17863602,57.607513530000006
Baja California Sur,2007,1,False,213.26362919,213.26362919
Baja California Sur,2007,2,False,408.18687818,194.92324899000002
Baja California Sur,2007,3,False,543.84796295,135.66108477
Baja California Sur,2007,4,False,819.29107183,275.44310887999995
Baja California Sur,2008,1,False,224.48451776,224.48451776
Baja California Sur,2008,2,False,443.90604572,219.42152796000002
Baja California Sur,2008,3,False,687.08693441,243.18088869000002
Baja California Sur,2008,4,False,810.58165725,123.49472284000001
Baja California Sur,2009,1,False,119.48638655,119.48638655
Baja California Sur,2009,2,False,242.77900853,123.29262197999999
Baja California Sur,2009,3,False,313.97066476,71.19165622999998
Baja California Sur,2009,4,False,449.52626037,135.55559561
Baja California Sur,2010,1,False,124.58980398,124.58980398
Baja California Sur,2010,2,False,170.74461603,46.154812050000004
Baja California Sur,2010,3,False,342.25300959,171.50839355999997
Baja California Sur,2010,4,False,517.75012398,175.49711439000004
Baja California Sur,2011,1,False,178.32856187,178.32856187
Baja California Sur,2011,2,False,347.17691006,168.84834819000002
Baja California Sur,2011,3,False,556.45774108,209.28083102
Baja California Sur,2011,4,False,711.27897818,154.82123709999996
Baja California Sur,2012,1,False,122.83704792,122.83704792
Baja California Sur,2012,2,False,258.38962711,135.55257919
Baja California Sur,2012,3,False,315.73104455,57.34141743999999
Baja California Sur,2012,4,False,721.12509367,405.39404912
Baja California Sur,2013,1,False,56.11420458,56.11420458
Baja California Sur,2013,2,False,168.1140987,111.99989412
Baja California Sur,2013,3,False,343.21494473,175.10084603
Baja California Sur,2013,4,False,421.33674914,78.12180440999998
Baja California Sur,2014,1,False,117.35365688,117.35365688
Baja California Sur,2014,2,False,165.65122006,48.29756318000001
Baja California Sur,2014,3,False,168.90416042,3.2529403599999966
Baja California Sur,2014,4,False,228.70082005,59.79665962999999
Baja California Sur,2015,1,False,50.9388936,50.9388936
Baja California Sur,2015,2,False,129.49194322,78.55304962
Baja California Sur,2015,3,False,293.96708809,164.47514487
Baja California Sur,2015,4,False,352.01428802,58.04719992999998
Baja California Sur,2016,1,False,260.5686094,260.5686094
Baja California Sur,2016,2,False,355.6520076,95.08339819999998
Baja California Sur,2016,3,False,438.40463872,82.75263111999999
Baja California Sur,2016,4,False,510.78549871,72.38085999000003
Baja California Sur,2017,1,False,164.96474141,164.96474141
Baja California Sur,2017,2,False,314.49789875,149.53315734
Baja California Sur,2017,3,False,457.28425008,142.78635133
Baja California Sur,2017,4,False,568.93950325,111.65525317000004
Baja California Sur,2018,1,False,119.98485494,119.98485494
Baja California Sur,2018,2,False,228.62193485,108.63707991
Baja California Sur,2018,3,False,345.2230138,116.60107894999999
Baja California Sur,2018,4,False,443.06433248,97.84131868000003
Baja California Sur,2019,1,False,149.77406478,149.77406478
Baja California Sur,2019,2,False,244.1236814,94.34961662
Baja California Sur,2019,3,False,351.50220038,107.37851897999997
Baja California Sur,2019,4,False,464.97370672,113.47150634000002
Baja California Sur,2020,1,False,288.39800169,288.39800169
Baja California Sur,2020,2,False,406.60026921,118.20226752000002
Baja California Sur,2020,3,False,540.07571033,133.47544111999997
Baja California Sur,2020,4,False,617.40914033,77.33343000000002
Baja California Sur,2021,1,False,230.32198183,230.32198183
Baja California Sur,2021,2,False,376.84929113,146.52730929999998
Baja California Sur,2021,3,False,685.86901538,309.01972424999997
Baja California Sur,2021,4,False,1089.49682297,403.6278075900001
Baja California Sur,2022,1,False,338.98379065,338.98379065
Baja California Sur,2022,2,False,495.17806102,156.19427036999997
Baja California Sur,2022,3,False,655.82438662,160.64632560000007
Baja California Sur,2022,4,False,834.29067621,178.46628958999997
Baja California Sur,2023,1,False,206.7812591,206.7812591
Baja California Sur,2023,2,False,677.1400154,470.35875630000004
Baja California Sur,2023,3,False,943.87670175,266.73668635
Baja California Sur,2023,4,False,1162.0947595,218.21805774999996
Baja California Sur,2024,1,False,229.18912888,229.18912888
Baja California Sur,2024,2,False,624.25231889,395.06319000999997
Baja California Sur,2024,3,False,1200.3050799,576.05276101
Baja California Sur,2024,4,False,1418.16683097,217.86175107000008
Baja California Sur,2025,1,False,398.70356107,398.70356107
Baja California Sur,2025,2,False,899.54455343,500.84099236
Baja California Sur,2025,3,False,1334.01790705,434.4733536200001
Baja California Sur,2025,4,False,1662.93525474,328.9173476899998
Campeche,2006,1,False,15.215796,15.215796
Campeche,2006,2,False,25.14384907,9.928053070000002
Campeche,2006,3,False,34.30570607,9.161856999999998
