entidad_federativa,tipo_inversion,anio,trimestre,confidencial,ied_acumulado_mdd,flujo_mdd
Aguascalientes,Cuentas entre compañías,2023,3,False,1126.78632053,280.83137529
Aguascalientes,Cuentas entre compañías,2023,4,False,678.31267655,-448.47364398
Aguascalientes,Cuentas entre compañías,2024,1,False,-288.04218447,-288.04218447
Aguascalientes,Cuentas entre compañías,2024,2,False,5.28961546,293.33179993
Aguascalientes,Cuentas entre compañías,2024,3,False,-42.13249886,-47.42211432
Aguascalientes,Cuentas entre compañías,2024,4,False,99.41441518,141.54691404
Aguascalientes,Cuentas entre compañías,2025,1,False,-60.52923771,-60.52923771
Aguascalientes,Cuentas entre compañías,2025,2,False,-71.26535555,-10.736117839999999
Aguascalientes,Cuentas entre compañías,2025,3,False,-322.93665627,-251.67130072000003
Aguascalientes,Cuentas entre compañías,2025,4,False,-874.29533381,-551.3586775399999
Baja California,Cuentas entre compañías,2006,1,False,182.381811,182.381811
Baja California,Cuentas entre compañías,2006,2,False,410.000884,227.619073
Baja California,Cuentas entre compañías,2006,3,False,687.171301,277.170417
Baja California,Cuentas entre compañías,2006,4,False,952.430873,265.25957200000005
Baja California,Cuentas entre compañías,2007,1,False,222.613338,222.613338
Baja California,Cuentas entre compañías,2007,2,False,383.764169,161.15083099999998
Baja California,Cuentas entre compañías,2007,3,False,974.684525,590.9203560000001
Baja California,Cuentas entre compañías,2007,4,False,996.753405,22.068880000000036
Baja California,Cuentas entre compañías,2008,1,False,86.495183,86.495183
Baja California,Cuentas entre compañías,2008,2,False,469.772187,383.277004
Baja California,Cuentas entre compañías,2008,3,False,647.602,177.829813
Baja California,Cuentas entre compañías,2008,4,False,457.343892,-190.258108
Baja California,Cuentas entre compañías,2009,1,False,156.993044,156.993044
Baja California,Cuentas entre compañías,2009,2,False,189.215333,32.22228899999999
Baja California,Cuentas entre compañías,2009,3,False,293.89286,104.677527
Baja California,Cuentas entre compañías,2009,4,False,178.14019,-115.75267
Baja California,Cuentas entre compañías,2010,1,False,250.149294,250.149294
Baja California,Cuentas entre compañías,2010,2,False,351.701437,101.552143
Baja California,Cuentas entre compañías,2010,3,False,488.178468,136.477031
Baja California,Cuentas entre compañías,2010,4,False,664.955337,176.77686899999998
Baja California,Cuentas entre compañías,2011,1,False,-25.319839,-25.319839
Baja California,Cuentas entre compañías,2011,2,False,106.726125,132.045964
Baja California,Cuentas entre compañías,2011,3,False,299.16136,192.435235
Baja California,Cuentas entre compañías,2011,4,False,427.635483,128.47412300000002
Baja California,Cuentas entre compañías,2012,1,False,186.817111,186.817111
Baja California,Cuentas entre compañías,2012,2,False,300.485495,113.668384
Baja California,Cuentas entre compañías,2012,3,False,413.257158,112.77166299999999
Baja California,Cuentas entre compañías,2012,4,False,520.73219,107.47503199999994
Baja California,Cuentas entre compañías,2013,1,False,160.727536,160.727536
Baja California,Cuentas entre compañías,2013,2,False,314.767985,154.04044900000002
Baja California,Cuentas entre compañías,2013,3,False,447.439656,132.671671
Baja California,Cuentas entre compañías,2013,4,False,540.634707,93.19505100000003
Baja California,Cuentas entre compañías,2014,1,False,112.16743,112.16743
Baja California,Cuentas entre compañías,2014,2,False,266.685467,154.51803700000002
Baja California,Cuentas entre compañías,2014,3,False,411.29274751,144.60728051
Baja California,Cuentas entre compañías,2014,4,False,668.74251085,257.44976334
Baja California,Cuentas entre compañías,2015,1,False,173.09077319,173.09077319
Baja California,Cuentas entre compañías,2015,2,False,236.34158709,63.2508139
Baja California,Cuentas entre compañías,2015,3,False,506.8171279,270.47554081
Baja California,Cuentas entre compañías,2015,4,False,839.7188398,332.90171189999995
Baja California,Cuentas entre compañías,2016,1,False,128.93768199,128.93768199
Baja California,Cuentas entre compañías,2016,2,False,337.90453471,208.96685272000002
Baja California,Cuentas entre compañías,2016,3,False,468.44249064,130.53795593
Baja California,Cuentas entre compañías,2016,4,False,674.91113862,206.46864797999996
Baja California,Cuentas entre compañías,2017,1,False,231.13091027,231.13091027
Baja California,Cuentas entre compañías,2017,2,False,448.54967533,217.41876506000003
Baja California,Cuentas entre compañías,2017,3,False,526.06697995,77.51730462
Baja California,Cuentas entre compañías,2017,4,False,726.94665756,200.87967760999993
Baja California,Cuentas entre compañías,2018,1,False,128.96269845,128.96269845
Baja California,Cuentas entre compañías,2018,2,False,363.85637088,234.89367242999998
Baja California,Cuentas entre compañías,2018,3,False,483.93796842,120.08159754000002
Baja California,Cuentas entre compañías,2018,4,False,749.90776001,265.96979158999994
Baja California,Cuentas entre compañías,2019,1,False,-22.65000565,-22.65000565
Baja California,Cuentas entre compañías,2019,2,False,171.2702501,193.92025575
Baja California,Cuentas entre compañías,2019,3,False,272.62475836,101.35450825999999
Baja California,Cuentas entre compañías,2019,4,False,240.47396126,-32.15079709999998
Baja California,Cuentas entre compañías,2020,1,False,253.62626653,253.62626653
Baja California,Cuentas entre compañías,2020,2,False,488.82065102,235.19438449
Baja California,Cuentas entre compañías,2020,3,False,442.40279177,-46.41785924999999
Baja California,Cuentas entre compañías,2020,4,False,589.08484966,146.68205789
Baja California,Cuentas entre compañías,2021,1,False,66.53855779,66.53855779
Baja California,Cuentas entre compañías,2021,2,False,308.67255756,242.13399976999997
Baja California,Cuentas entre compañías,2021,3,False,522.61479953,213.94224197000005
Baja California,Cuentas entre compañías,2021,4,False,605.92219357,83.30739403999996
Baja California,Cuentas entre compañías,2022,1,False,352.66108517,352.66108517
Baja California,Cuentas entre compañías,2022,2,False,549.65290789,196.99182272000007
Baja California,Cuentas entre compañías,2022,3,False,744.85583173,195.20292383999993
Baja California,Cuentas entre compañías,2022,4,False,942.81815775,197.96232601999998
Baja California,Cuentas entre compañías,2023,1,False,277.76301506,277.76301506
Baja California,Cuentas entre compañías,2023,2,False,776.79572352,499.03270846000004
Baja California,Cuentas entre compañías,2023,3,False,528.48805623,-248.30766729000004
Baja California,Cuentas entre compañías,2023,4,False,789.09607427,260.60801804000005
Baja California,Cuentas entre compañías,2024,1,False,751.96586383,751.96586383
Baja California,Cuentas entre compañías,2024,2,False,1041.02847291,289.0626090799999
Baja California,Cuentas entre compañías,2024,3,False,1166.74903583,125.72056292000002
Baja California,Cuentas entre compañías,2024,4,False,1363.36336254,196.6143267100001
Baja California,Cuentas entre compañías,2025,1,False,-57.31727901,-57.31727901
Baja California,Cuentas entre compañías,2025,2,False,407.65071536,464.96799437
Baja California,Cuentas entre compañías,2025,3,False,813.67986373,406.02914837
Baja California,Cuentas entre compañías,2025,4,False,847.00430034,33.32443661000002
Baja California Sur,Cuentas entre compañías,2006,1,False,190.68872,190.68872
Baja California Sur,Cuentas entre compañías,2006,2,False,217.596671,26.907950999999997
Baja California Sur,Cuentas entre compañías,2006,3,False,249.321872,31.725201000000027
Baja California Sur,Cuentas entre compañías,2006,4,False,272.250617,22.928744999999964
Baja California Sur,Cuentas entre compañías,2007,1,False,44.211352,44.211352
Baja California Sur,Cuentas entre compañías,2007,2,False,82.980723,38.769371
Baja California Sur,Cuentas entre compañías,2007,3,False,119.481239,36.500516000000005
Baja California Sur,Cuentas entre compañías,2007,4,False,237.611977,118.130738
Baja California Sur,Cuentas entre compañías,2008,1,False,142.26478,142.26478
Baja California Sur,Cuentas entre compañías,2008,2,False,288.230473,145.96569300000002
Baja California Sur,Cuentas entre compañías,2008,3,False,329.277857,41.047383999999965
Baja California Sur,Cuentas entre compañías,2008,4,False,350.745446,21.467589000000032
Baja California Sur,Cuentas entre compañías,2009,1,False,16.586614,16.586614
Baja California Sur,Cuentas entre compañías,2009,2,False,64.925159,48.338544999999996
Baja California Sur,Cuentas entre compañías,2009,3,False,77.506064,12.580905000000001
Baja California Sur,Cuentas entre compañías,2009,4,False,84.34767,6.841605999999999
Baja California Sur,Cuentas entre compañías,2010,1,False,43.390004,43.390004
Baja California Sur,Cuentas entre compañías,2010,2,False,53.095338,9.705334
Baja California Sur,Cuentas entre compañías,2010,3,False,184.301616,131.206278
Baja California Sur,Cuentas entre compañías,2010,4,False,236.980204,52.67858799999999
Baja California Sur,Cuentas entre compañías,2011,1,False,118.073076,118.073076
Baja California Sur,Cuentas entre compañías,2011,2,False,167.388981,49.315905
Baja California Sur,Cuentas entre compañías,2011,3,False,278.038034,110.64905299999998
Baja California Sur,Cuentas entre compañías,2011,4,False,333.128257,55.09022300000004
Baja California Sur,Cuentas entre compañías,2012,1,False,-1.655636,-1.655636
Baja California Sur,Cuentas entre compañías,2012,2,False,-4.99920725,-3.34357125
Baja California Sur,Cuentas entre compañías,2012,3,False,-3.13108625,1.8681210000000004
Baja California Sur,Cuentas entre compañías,2012,4,False,227.26019975,230.391286
Baja California Sur,Cuentas entre compañías,2013,1,False,1.03106146,1.03106146
Baja California Sur,Cuentas entre compañías,2013,2,False,1.83072334,0.7996618799999999
