entidad_federativa,anio,trimestre,confidencial,ied_acumulado_mdd,flujo_mdd
Campeche,2022,4,False,40.39690726,-39.77054524
Campeche,2023,1,False,16.00138543,16.00138543
Campeche,2023,2,False,-11.33539933,-27.33678476
Campeche,2023,3,False,20.88748422,32.22288355
Campeche,2023,4,False,74.17070622,53.283221999999995
Campeche,2024,1,False,12.59820999,12.59820999
Campeche,2024,2,False,126.609792,114.01158201
Campeche,2024,3,False,136.2161609,9.606368900000007
Campeche,2024,4,False,535.9556912,399.73953030000007
Campeche,2025,1,False,-2.87875536,-2.87875536
Campeche,2025,2,False,11.60899343,14.48774879
Campeche,2025,3,False,78.53513486,66.92614143
Campeche,2025,4,False,-9.02558778,-87.56072264
Campeche,2026,1,False,36.04612985,36.04612985
Chiapas,2018,1,False,45.09275011,45.09275011
Chiapas,2018,2,False,55.59974775,10.506997640000002
Chiapas,2018,3,False,68.54017293,12.940425179999998
Chiapas,2018,4,False,66.78482971,-1.7553432200000003
Chiapas,2019,1,False,127.5360807,127.5360807
Chiapas,2019,2,False,177.0994187,49.563338
Chiapas,2019,3,False,210.3515247,33.252106
Chiapas,2019,4,False,245.8045872,35.45306249999999
Chiapas,2020,1,False,57.2655145,57.2655145
Chiapas,2020,2,False,57.88959263,0.6240781300000009
Chiapas,2020,3,False,137.3750597,79.48546707
Chiapas,2020,4,False,130.7413713,-6.633688400000011
Chiapas,2021,1,False,190.0612697,190.0612697
Chiapas,2021,2,False,183.7954965,-6.265773199999984
Chiapas,2021,3,False,195.7345801,11.939083599999975
Chiapas,2021,4,False,167.7788445,-27.955735599999997
Chiapas,2022,1,False,248.4174966,248.4174966
Chiapas,2022,2,False,235.6437167,-12.773779899999994
Chiapas,2022,3,False,239.6998724,4.056155700000005
Chiapas,2022,4,False,186.7916724,-52.908199999999994
Chiapas,2023,1,False,59.30803481,59.30803481
Chiapas,2023,2,False,64.037636,4.729601190000004
Chiapas,2023,3,False,36.65928904,-27.37834696000001
Chiapas,2023,4,False,39.83869197,3.179402930000002
Chiapas,2024,1,False,9.41843733,9.41843733
Chiapas,2024,2,False,101.2424761,91.82403877
Chiapas,2024,3,False,107.3934086,6.150932499999996
Chiapas,2024,4,False,104.736611,-2.6567976000000044
Chiapas,2025,1,False,1.99202691,1.99202691
Chiapas,2025,2,False,28.13094852,26.13892161
Chiapas,2025,3,False,40.61091168,12.47996316
Chiapas,2025,4,False,32.04775454,-8.563157140000001
Chiapas,2026,1,False,84.16255691,84.16255691
Chihuahua,2018,1,False,395.4624338,395.4624338
Chihuahua,2018,2,False,721.2770433,325.81460949999996
Chihuahua,2018,3,False,915.5588403,194.2817970000001
Chihuahua,2018,4,False,1137.815834,222.25699369999995
Chihuahua,2019,1,False,438.0236767,438.0236767
Chihuahua,2019,2,False,763.0535179,325.02984119999996
Chihuahua,2019,3,False,1117.783936,354.73041810000007
Chihuahua,2019,4,False,1385.311695,267.52775900000006
Chihuahua,2020,1,False,267.8207104,267.8207104
Chihuahua,2020,2,False,465.2932647,197.4725543
Chihuahua,2020,3,False,449.1321819,-16.16108280000003
Chihuahua,2020,4,False,632.3094576,183.1772757
Chihuahua,2021,1,False,514.8503736,514.8503736
Chihuahua,2021,2,False,1049.117525,534.2671513999999
Chihuahua,2021,3,False,1169.581064,120.46353900000008
Chihuahua,2021,4,False,1843.383637,673.8025729999999
Chihuahua,2022,1,False,774.3564366,774.3564366
Chihuahua,2022,2,False,1153.578211,379.22177439999996
Chihuahua,2022,3,False,1683.028398,529.4501869999999
Chihuahua,2022,4,False,1875.864234,192.83583599999997
Chihuahua,2023,1,False,562.4089805,562.4089805
Chihuahua,2023,2,False,1092.364444,529.9554635000001
Chihuahua,2023,3,False,1517.832162,425.4677179999999
Chihuahua,2023,4,False,1979.53816,461.70599800000014
Chihuahua,2024,1,False,683.0573548,683.0573548
Chihuahua,2024,2,False,1076.27238,393.2150252000001
Chihuahua,2024,3,False,1250.210847,173.93846699999995
Chihuahua,2024,4,False,1496.725833,246.5149859999999
Chihuahua,2025,1,False,440.4739201,440.4739201
Chihuahua,2025,2,False,936.1024665,495.6285464
Chihuahua,2025,3,False,896.3512131,-39.751253399999996
Chihuahua,2025,4,False,1065.571457,169.2202439
Chihuahua,2026,1,False,406.4425125,406.4425125
Ciudad de México,2018,1,False,2020.234538,2020.234538
Ciudad de México,2018,2,False,4283.252391,2263.0178530000003
Ciudad de México,2018,3,False,4473.977714,190.72532299999966
Ciudad de México,2018,4,False,5843.86837,1369.8906560000005
Ciudad de México,2019,1,False,2680.13985,2680.13985
Ciudad de México,2019,2,False,5305.444111,2625.3042609999998
Ciudad de México,2019,3,False,6528.191964,1222.7478529999998
Ciudad de México,2019,4,False,7896.0453,1367.8533360000001
Ciudad de México,2020,1,False,2461.572132,2461.572132
Ciudad de México,2020,2,False,3419.767894,958.1957620000003
Ciudad de México,2020,3,False,5098.349009,1678.5811149999995
Ciudad de México,2020,4,False,6947.100907,1848.7518980000004
Ciudad de México,2021,1,False,2202.091838,2202.091838
Ciudad de México,2021,2,False,3270.230288,1068.1384500000004
Ciudad de México,2021,3,False,4109.116542,838.8862539999996
Ciudad de México,2021,4,False,5056.938474,947.8219319999998
Ciudad de México,2022,1,False,7973.217569,7973.217569
Ciudad de México,2022,2,False,9356.199878,1382.982308999999
Ciudad de México,2022,3,False,10296.3355,940.1356219999998
Ciudad de México,2022,4,False,10923.26494,626.9294399999999
Ciudad de México,2023,1,False,7039.127472,7039.127472
Ciudad de México,2023,2,False,10224.5346,3185.4071280000007
Ciudad de México,2023,3,False,10579.83203,355.2974299999987
Ciudad de México,2023,4,False,11196.97365,617.1416200000003
Ciudad de México,2024,1,False,12042.99368,12042.99368
Ciudad de México,2024,2,False,14184.37209,2141.378410000001
Ciudad de México,2024,3,False,15778.18545,1593.81336
Ciudad de México,2024,4,False,14426.53236,-1351.6530900000016
Ciudad de México,2025,1,False,11805.77731,11805.77731
Ciudad de México,2025,2,False,19311.7754,7505.998089999999
Ciudad de México,2025,3,False,22812.55956,3500.784160000003
Ciudad de México,2025,4,False,22381.29634,-431.26322000000073
Ciudad de México,2026,1,False,11776.81618,11776.81618
Coahuila,2018,1,False,486.4437284,486.4437284
Coahuila,2018,2,False,1105.926838,619.4831096
