pais_origen,anio,trimestre,confidencial,ied_acumulado_mdd,flujo_mdd
Andorra,2026,1,False,0.0,0.0
Antigua y Barbuda,2018,1,False,0.0,0.0
Antigua y Barbuda,2018,2,False,0.0,0.0
Antigua y Barbuda,2018,3,False,0.0,0.0
Antigua y Barbuda,2018,4,False,0.0,0.0
Antigua y Barbuda,2019,1,False,0.0,0.0
Antigua y Barbuda,2019,2,False,0.0,0.0
Antigua y Barbuda,2019,3,False,0.0,0.0
Antigua y Barbuda,2019,4,False,0.0,0.0
Antigua y Barbuda,2020,1,False,0.0,0.0
Antigua y Barbuda,2020,2,False,0.0,0.0
Antigua y Barbuda,2020,3,False,0.0,0.0
Antigua y Barbuda,2020,4,False,0.0,0.0
Antigua y Barbuda,2021,1,False,0.0,0.0
Antigua y Barbuda,2021,2,False,0.0,0.0
Antigua y Barbuda,2021,3,False,0.0,0.0
Antigua y Barbuda,2021,4,False,0.0,0.0
Antigua y Barbuda,2022,1,False,0.0,0.0
Antigua y Barbuda,2022,2,False,0.0,0.0
Antigua y Barbuda,2022,3,False,0.0,0.0
Antigua y Barbuda,2022,4,True,,
Antigua y Barbuda,2023,1,False,0.0,0.0
Antigua y Barbuda,2023,2,False,0.0,0.0
Antigua y Barbuda,2023,3,False,0.0,0.0
Antigua y Barbuda,2023,4,False,0.0,0.0
Antigua y Barbuda,2024,1,False,0.0,0.0
Antigua y Barbuda,2024,2,False,0.0,0.0
Antigua y Barbuda,2024,3,False,0.0,0.0
Antigua y Barbuda,2024,4,False,0.0,0.0
Antigua y Barbuda,2025,1,False,0.0,0.0
Antigua y Barbuda,2025,2,False,0.0,0.0
Antigua y Barbuda,2025,3,False,0.0,0.0
Antigua y Barbuda,2025,4,False,0.0,0.0
Antigua y Barbuda,2026,1,False,0.0,0.0
Arabia Saudita,2018,1,False,0.0,0.0
Arabia Saudita,2018,2,False,0.0,0.0
Arabia Saudita,2018,3,True,,
Arabia Saudita,2018,4,True,,
Arabia Saudita,2019,1,False,0.0,0.0
Arabia Saudita,2019,2,False,0.0,0.0
Arabia Saudita,2019,3,True,,
Arabia Saudita,2019,4,True,,
Arabia Saudita,2020,1,False,0.0,0.0
Arabia Saudita,2020,2,False,0.0,0.0
Arabia Saudita,2020,3,False,0.0,0.0
Arabia Saudita,2020,4,True,,
Arabia Saudita,2021,1,True,,
Arabia Saudita,2021,2,True,,
Arabia Saudita,2021,3,True,,
Arabia Saudita,2021,4,True,,
Arabia Saudita,2022,1,True,,
Arabia Saudita,2022,2,True,,
Arabia Saudita,2022,3,True,,
Arabia Saudita,2022,4,True,,
Arabia Saudita,2023,1,False,0.0,0.0
Arabia Saudita,2023,2,False,0.0,0.0
Arabia Saudita,2023,3,False,0.0,0.0
Arabia Saudita,2023,4,False,0.0,0.0
Arabia Saudita,2024,1,False,0.0,0.0
Arabia Saudita,2024,2,True,,
Arabia Saudita,2024,3,True,,
Arabia Saudita,2024,4,True,,
Arabia Saudita,2025,1,False,0.0,0.0
Arabia Saudita,2025,2,False,0.0,0.0
Arabia Saudita,2025,3,False,0.0,0.0
Arabia Saudita,2025,4,True,,
Arabia Saudita,2026,1,False,0.0,0.0
Argelia,2018,1,False,0.0,0.0
Argelia,2018,2,False,0.0,0.0
Argelia,2018,3,False,0.0,0.0
Argelia,2018,4,False,0.0,0.0
Argelia,2019,1,False,0.0,0.0
Argelia,2019,2,False,0.0,0.0
Argelia,2019,3,True,,
Argelia,2019,4,True,,
Argelia,2020,1,False,0.0,0.0
Argelia,2020,2,False,0.0,0.0
Argelia,2020,3,False,0.0,0.0
Argelia,2020,4,False,0.0,0.0
Argelia,2021,1,False,0.0,0.0
Argelia,2021,2,False,0.0,0.0
Argelia,2021,3,False,0.0,0.0
Argelia,2021,4,False,0.0,0.0
Argelia,2022,1,True,,
Argelia,2022,2,True,,
Argelia,2022,3,True,,
Argelia,2022,4,True,,
Argelia,2023,1,False,0.0,0.0
Argelia,2023,2,False,0.0,0.0
Argelia,2023,3,False,0.0,0.0
Argelia,2023,4,False,0.0,0.0
Argelia,2024,1,False,0.0,0.0
Argelia,2024,2,False,0.0,0.0
Argelia,2024,3,False,0.0,0.0
Argelia,2024,4,False,0.0,0.0
Argelia,2025,1,False,0.0,0.0
Argelia,2025,2,False,0.0,0.0
Argelia,2025,3,False,0.0,0.0
Argelia,2025,4,False,0.0,0.0
Argelia,2026,1,True,,
Argentina,2018,1,False,112.7567598,112.7567598
Argentina,2018,2,False,377.1430684,264.3863086
Argentina,2018,3,False,560.8114257,183.66835729999997
Argentina,2018,4,False,1045.00401,484.19258430000014
Argentina,2019,1,False,112.0890069,112.0890069
Argentina,2019,2,False,-190.3977062,-302.4867131
Argentina,2019,3,False,306.0113532,496.40905939999993
Argentina,2019,4,False,441.129815,135.11846180000003
Argentina,2020,1,False,-284.936091,-284.936091
Argentina,2020,2,False,-103.88662,181.04947099999998
