tipo_inversion,anio,trimestre,confidencial,ied_acumulado_mdd,flujo_mdd
Nuevas inversiones,2010,3,False,11896.11094409,2269.14566595
Nuevas inversiones,2010,4,False,15645.98090887,3749.8699647800004
Nuevas inversiones,2011,1,False,3058.2977849,3058.2977849
Nuevas inversiones,2011,2,False,5149.46625269,2091.1684677900002
Nuevas inversiones,2011,3,False,7754.31702113,2604.85076844
Nuevas inversiones,2011,4,False,9699.18801041,1944.8709892799998
Nuevas inversiones,2012,1,False,1494.30631034,1494.30631034
Nuevas inversiones,2012,2,False,3606.00528751,2111.69897717
Nuevas inversiones,2012,3,False,6007.9046033,2401.8993157900004
Nuevas inversiones,2012,4,False,4316.57830927,-1691.32629403
Nuevas inversiones,2013,1,False,749.06269892,749.06269892
Nuevas inversiones,2013,2,False,16193.65692016,15444.59422124
Nuevas inversiones,2013,3,False,16455.93976358,262.2828434200019
Nuevas inversiones,2013,4,False,22040.95465718,5585.014893599997
Nuevas inversiones,2014,1,False,2427.15046408,2427.15046408
Nuevas inversiones,2014,2,False,-5.8992377,-2433.04970178
Nuevas inversiones,2014,3,False,436.02800046,441.92723816
Nuevas inversiones,2014,4,False,5763.03751732,5327.00951686
Nuevas inversiones,2015,1,False,4406.97221876,4406.97221876
Nuevas inversiones,2015,2,False,7223.72143919,2816.7492204299997
Nuevas inversiones,2015,3,False,11724.899575,4501.17813581
Nuevas inversiones,2015,4,False,13450.39993928,1725.5003642800002
Nuevas inversiones,2016,1,False,3851.21293599,3851.21293599
Nuevas inversiones,2016,2,False,5312.04060896,1460.82767297
Nuevas inversiones,2016,3,False,6865.05163104,1553.0110220799997
Nuevas inversiones,2016,4,False,10994.89632455,4129.84469351
Nuevas inversiones,2017,1,False,2783.15456662,2783.15456662
Nuevas inversiones,2017,2,False,5940.48274585,3157.3281792300004
Nuevas inversiones,2017,3,False,9511.0136057,3570.5308598499996
Nuevas inversiones,2017,4,False,11965.77271996,2454.7591142599995
Nuevas inversiones,2018,1,False,1942.00897461,1942.00897461
Nuevas inversiones,2018,2,False,4236.61814824,2294.6091736299995
Nuevas inversiones,2018,3,False,8463.90816837,4227.290020130001
Nuevas inversiones,2018,4,False,11333.82042652,2869.9122581499996
Nuevas inversiones,2019,1,False,2621.90853211,2621.90853211
Nuevas inversiones,2019,2,False,5029.12989195,2407.2213598399994
Nuevas inversiones,2019,3,False,9989.78599879,4960.65610684
Nuevas inversiones,2019,4,False,13573.95412873,3584.1681299400007
Nuevas inversiones,2020,1,False,2609.36504025,2609.36504025
Nuevas inversiones,2020,2,False,3486.20742661,876.8423863599996
Nuevas inversiones,2020,3,False,5094.1532179,1607.9457912899998
Nuevas inversiones,2020,4,False,6825.58713322,1731.4339153200008
Nuevas inversiones,2021,1,False,2251.29554663,2251.29554663
Nuevas inversiones,2021,2,False,5922.83869898,3671.54315235
Nuevas inversiones,2021,3,False,10097.19821264,4174.35951366
Nuevas inversiones,2021,4,False,15479.55925149,5382.36103885
Nuevas inversiones,2022,1,False,8840.94452486,8840.94452486
